2010-07-02,7
2010-07-09,7
2010-07-16,7
2010-07-23,7
2010-07-30,7
2010-08-06,8
2010-08-13,8
2010-08-20,6
2010-08-27,6
2010-09-03,6
2010-09-10,6
2010-09-17,6
2010-09-24,5
2010-10-01,5
2010-10-08,5
2010-10-15,5
2010-10-22,5
2010-10-29,5
2010-11-05,5
2010-11-12,5
2010-11-19,7
2010-11-26,7
2010-12-03,7
2010-12-10,7
2010-12-17,7
2010-12-24,7
2011-01-01,7
2011-01-08,7
2011-01-15,7
2011-01-22,7
2011-01-29,7
2011-02-05,7
2011-02-12,7
2011-02-19,7
2011-02-26,7
2011-03-05,7
2011-03-12,8
2011-03-19,9
2011-03-26,9
2011-04-02,8
2011-04-09,8
2011-04-16,6
2011-04-23,6
2011-04-30,6
2011-05-07,6
2011-05-14,6
2011-05-21,6
2011-05-28,6
2011-06-04,5
2011-06-11,6
2011-06-18,5
2011-06-25,5
2011-07-02,5
2011-07-09,4
2011-07-16,4
2011-07-23,4
2011-07-30,4
2011-08-06,4
2011-08-13,4
2011-08-20,4
2011-08-27,4
2011-09-03,4
2011-09-10,4
2011-09-17,5
2011-09-24,5
2011-10-01,5
2011-10-08,5
2011-10-15,5
2011-10-22,5
2011-10-29,5
2011-11-05,5
2011-11-12,5
2011-11-19,5
2011-11-26,5
2011-12-03,4
2011-12-10,4
2011-12-17,4
2011-12-24,4
2012-01-01,4
2012-01-08,4
2012-01-15,4
2012-01-22,4
2012-01-29,4
2012-02-05,6
2012-02-12,6
2012-02-19,6
2012-02-26,6
2012-03-04,6
2012-03-11,6
2012-03-18,6
2012-03-25,6
2012-04-01,6
2012-04-08,6
2012-04-15,5
2012-04-22,5
2012-04-29,6
2012-05-06,6
2012-05-13,6
2012-05-20,6
2012-05-27,5
2012-06-03,4
2012-06-10,4
2012-06-17,5
2012-06-24,5
2012-07-01,4
2012-07-08,4
2012-07-15,4
2012-07-22,4
2012-07-29,5
2012-08-05,5
2012-08-12,5
2012-08-19,5
2012-08-26,6
2012-09-02,5
2012-09-09,5
2012-09-16,5
2012-09-23,5
2012-09-30,5
2012-10-07,5
2012-10-14,5
2012-10-21,5
2012-10-28,5
2012-11-04,5
2012-11-11,5
2012-11-18,5
2012-11-25,5
2012-12-02,5
2012-12-09,5
2012-12-16,5
2012-12-23,7
2013-01-01,6
2013-01-08,6
2013-01-15,6
2013-01-22,6
2013-01-29,5
2013-02-05,4
2013-02-12,5
2013-02-19,6
2013-02-26,6
2013-03-05,5
2013-03-12,6
2013-03-19,5
2013-03-26,5
2013-04-02,6
2013-04-09,6
2013-04-16,6
2013-04-23,6
2013-04-30,6
2013-05-07,6
2013-05-14,6
2013-05-21,6
2013-05-28,6
2013-06-04,6
2013-06-11,6
2013-06-18,6
2013-06-25,6
